"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population"
"T0" 46 "spl" "T0in" -1033.31775773113 -24.351885720973 -1313.90513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -954.304757731126 -62.051825720973 -1055.13813133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1072.99675773113 15.988274279027 -663.307131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -969.476757731126 106.990674279027 -1465.24513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -962.577757731126 -98.207625720973 -957.613131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -990.766757731126 19.756474279027 -536.090131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1156.68324226887 51.160674279027 -1053.94913133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1014.55075773113 55.906974279027 -669.745131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -922.300757731126 -42.527925720973 -665.108131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -432.221757731126 56.704474279027 6.24586866996367 "T046splT0in"
"T0" 46 "spl" "T0in" -898.104757731126 -87.723425720973 -602.371131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -922.474757731126 39.706074279027 -491.886131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1016.72775773113 0.78077427902705 284.058868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -1084.54275773113 -105.887925720973 -705.939131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1064.59175773113 43.241174279027 -237.998031330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1076.48375773113 -22.660295720973 -1018.22913133004 "T046splT0in"
"T0" 46 "spl" "T0in" -799.405757731126 7.49637427902705 -641.565131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1063.03275773113 35.133074279027 -762.032131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -842.550757731126 35.1127742790271 -541.045131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -977.828757731126 -12.237525720973 -966.463131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1064.32075773113 70.575374279027 -1205.16513133004 "T046splT0in"
"T0" 46 "spl" "T0in" 6561.99324226887 -80.2933257209729 -254.850131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1006.72675773113 -78.541825720973 -347.906131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 4168.89324226887 56.073374279027 16402.56486867 "T046splT0in"
"T0" 46 "spl" "T0in" -928.318757731126 33.7455742790271 2236.59486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1105.03575773113 -41.879325720973 -811.874131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1045.97675773113 -49.011925720973 -510.780131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -917.742757731126 16.0015742790271 -463.435131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1069.34175773113 -23.993485720973 -644.909131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1125.71875773113 -31.2445757209729 -856.459131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -969.035757731126 -112.951725720973 -330.086131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1004.36175773113 -38.6117257209729 -815.753131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -661.892757731126 46.864274279027 -338.056131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -764.349757731126 67.417974279027 -127.044931330036 "T046splT0in"
"T0" 46 "spl" "T0in" -941.654757731126 28.6407742790271 -1040.38913133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1018.04875773113 1.52717427902705 -959.176131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 4887.40324226887 -28.786945720973 -717.686131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -977.954757731126 -39.402925720973 -995.102131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -921.340757731126 43.657074279027 -851.601131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -910.569757731126 -23.6683757209729 -773.091131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -984.805757731126 -69.174125720973 -147.959741330036 "T046splT0in"
"T0" 46 "spl" "T0in" 10918.8632422689 -89.152825720973 10632.66486867 "T046splT0in"
"T0" 46 "spl" "T0in" 4420.67324226887 4.74347427902705 -540.903131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 2962.86324226887 53.606874279027 3325.79486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -491.152757731126 -3.88792572097295 -1190.60513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1047.75375773113 27.5874742790271 -875.856131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -998.085757731126 -11.385525720973 -331.360131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 15096.3632422689 -118.809625720973 1731.71486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1048.35475773113 -72.405225720973 -963.780131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -960.839757731126 -6.27822572097295 -824.460131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -826.677757731126 127.447674279027 -697.039131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1014.88675773113 63.616274279027 -825.696131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -824.469757731126 5.91867427902705 -784.181131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1054.44875773113 16.7674742790271 -1288.25513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1061.84775773113 -24.693005720973 -754.642131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1067.42975773113 68.8114742790271 -212.285031330036 "T046splT0in"
"T0" 46 "spl" "T0in" -971.607757731126 -145.353325720973 -798.289131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1045.78875773113 18.895574279027 -251.435131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1025.26875773113 -27.897126720973 -664.946131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1071.79275773113 -92.815325720973 -1363.09513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1053.15275773113 60.6217742790271 -845.033131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1017.14375773113 -73.730725720973 -916.550131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -865.588757731126 -12.893425720973 -54.8708313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -1064.29475773113 -58.6449257209729 -419.222131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1005.79975773113 -35.612385720973 -679.203131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1112.54775773113 29.6494742790271 -911.942131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1017.71475773113 -34.7219057209729 -403.811131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1003.12275773113 10.9412742790271 -1120.25613133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1095.35075773113 -7.65582572097295 -1207.90513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -1107.17075773113 46.371174279027 -1359.20513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -959.074757731126 9.22507427902705 -974.663131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -991.291757731126 43.8251742790271 -704.423131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -986.079757731126 -49.505225720973 -1136.36713133004 "T046splT0in"
"T0" 46 "spl" "T0in" -836.646757731126 56.072074279027 -938.000131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -840.247757731126 -11.648225720973 -665.980131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1032.20175773113 38.483274279027 102.782868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -444.137757731126 -24.581175720973 -695.979131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1030.59375773113 -15.198725720973 -684.201131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 5544.79324226887 -49.5703257209729 -83.1290313300363 "T046splT0in"
"T0" 46 "spl" "T0in" -907.987757731126 -20.4058257209729 188.644868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -844.944757731126 9.40487427902705 -832.204131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -939.345757731126 23.8369742790271 -846.292131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 1788.97324226887 85.021674279027 3641.48486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1147.54475773113 19.6477742790271 -537.638131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -917.559757731126 -12.124025720973 -1106.84813133004 "T046splT0in"
"T0" 46 "spl" "T0in" -950.965757731126 65.298274279027 3093.38486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -1056.31375773113 -53.488525720973 -1353.26513133004 "T046splT0in"
"T0" 46 "spl" "T0in" -960.859757731126 -3.44402572097295 -781.600131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1087.18375773113 -81.0450257209729 -861.011131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 3703.16324226887 -0.55952572097295 475.185868669964 "T046splT0in"
"T0" 46 "spl" "T0in" -1018.09075773113 -73.7925257209729 -970.232131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -1132.68275773113 42.099674279027 -739.661131330036 "T046splT0in"
"T0" 46 "spl" "T0in" 15381.7632422689 -88.275225720973 1029.00486866996 "T046splT0in"
"T0" 46 "spl" "T0in" -454.873757731126 47.989874279027 -716.991131330036 "T046splT0in"
"T0" 46 "spl" "T0in" -975.294757731126 -12.566325720973 231.999868669964 "T046splT0in"
