"treatment" "mouse" "organ" "celltype" "Ki67" "CD69" "CD62L" "population" "V1" "V2"
"T0" 46 "spl" "T0in" -1060.66375773113 -44.754625720973 -666.622131330036 "T046splT0in" 11.4210217683425 -2.74164987744391
"T0" 46 "spl" "T0in" -969.321757731126 24.533674279027 -576.703131330036 "T046splT0in" -5.31761186431739 -8.33526970089973
"T0" 46 "spl" "T0in" -1016.84175773113 -27.996698720973 -849.935131330036 "T046splT0in" 7.64259512115624 -6.70526863278449
"T0" 46 "spl" "T0in" -942.087757731126 59.104074279027 -214.256531330036 "T046splT0in" -9.89909713577125 -5.42621256054938
"T0" 46 "spl" "T0in" -1065.08675773113 -50.5721257209729 -733.291131330036 "T046splT0in" 12.2521718232742 -1.72775531949103
"T0" 46 "spl" "T0in" -1012.07075773113 35.781374279027 -944.127131330036 "T046splT0in" -7.53042285751197 -8.09062267483771
"T0" 46 "spl" "T0in" -1051.22975773113 -26.7141517209729 -467.023131330036 "T046splT0in" 7.8487084596267 -6.12523246945441
"T0" 46 "spl" "T0in" 1379.48324226887 -24.877315720973 -976.070131330036 "T046splT0in" 0.275395908843542 5.814450967893
"T0" 46 "spl" "T0in" -930.997757731126 30.1940742790271 -403.259131330036 "T046splT0in" -6.06407802413795 -7.92687870205939
"T0" 46 "spl" "T0in" -1051.82675773113 -77.8498257209729 -1057.03213133004 "T046splT0in" 13.4798224656692 0.977012742146844
"T0" 46 "spl" "T0in" -770.133757731126 22.888974279027 276.969868669964 "T046splT0in" -2.71868317436073 -1.43244148434699
"T0" 46 "spl" "T0in" -967.860757731126 52.181174279027 -1106.01013133004 "T046splT0in" -9.14280860732887 -6.98303486050666
"T0" 46 "spl" "T0in" -963.488757731126 -37.706825720973 -1495.72513133004 "T046splT0in" 12.1491101472488 -3.03731990994514
"T0" 46 "spl" "T0in" -947.591757731126 -4.28942572097295 -1226.83513133004 "T046splT0in" 3.90263254333642 -9.11898208798469
"T0" 46 "spl" "T0in" 4724.23324226887 -42.5327257209729 330.017868669964 "T046splT0in" -1.1190969259629 8.89347099123895
"T0" 46 "spl" "T0in" -1059.93375773113 34.407574279027 -1066.32713133004 "T046splT0in" -7.45538442443702 -8.20820690335334
"T0" 46 "spl" "T0in" 1159.66324226887 -18.308065720973 10926.66486867 "T046splT0in" -5.90576522659156 9.06508563815057
"T0" 46 "spl" "T0in" -720.556757731126 157.129674279027 415.915868669964 "T046splT0in" -9.59772651504371 4.15016435442864
"T0" 46 "spl" "T0in" -482.150757731126 35.6736742790271 -46.3983313300363 "T046splT0in" -3.39430468391273 -0.930378686800604
